PlateID,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,Measurement
BR00143978,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,2
BR00143980,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,2
BR00143976,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,3
BR00143977,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,2
BR00143981,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,2
BR00143979,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,2
BR00143981,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),1
BR00143978,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),3
BR00143980,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),3
BR00143976,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),4
BR00143978,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),5
BR00143976,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),6
BR00143980,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),5
BR00143976,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),2
BR00143978,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),1
BR00143979,Brightfield high,Alexa 488,HOECHST 33342,Alexa 568,Alexa 488 Long (CP),Alexa 647,5
BR00143981,Brightfield high,Alexa 488,HOECHST 33342,Alexa 568,Alexa 488 Long (CP),Alexa 647,5
BR00143977,Brightfield high,Alexa 488,HOECHST 33342,Alexa 568,Alexa 488 Long (CP),Alexa 647,6
BR00143979,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),1
BR00143981,Brightfield high,Alexa 488,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),Alexa 647,3
BR00143977,Brightfield high,Alexa 488,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),Alexa 647,3
BR00143979,Brightfield high,Alexa 488,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),Alexa 647,3
BR00143979,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),4
BR00143977,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),4
BR00143981,Brightfield high,Alexa 488,Alexa 647,Alexa 568,HOECHST 33342,Alexa 488 Long (CP),4
BR00143977,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),1
BR00143980,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,4
BR00143978,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,4
BR00143976,Brightfield high,Alexa 488,Alexa 647,Alexa 568,Alexa 488 Long (CP),HOECHST 33342,5
BR00143980,Brightfield high,Alexa 488,Alexa 568,Alexa 647,HOECHST 33342,Alexa 488 Long (CP),1
