Metadata_Plate,Metadata_Well,Metadata_Site
BR00143979,K09,1
BR00143979,L11,7
BR00143979,L11,8
BR00143979,M14,3
BR00143978,J09,3
BR00143978,I11,4
BR00143978,I11,5
BR00143978,I11,8
BR00143978,I11,9
BR00143978,J11,1
BR00143978,J11,3
BR00143978,J11,4
BR00143978,J11,5
BR00143978,J11,6
BR00143978,J11,7
BR00143978,J11,8
BR00143978,J11,9
BR00143978,I12,7
BR00143978,I12,8
BR00143978,I12,9
BR00143978,J12,1
BR00143978,J12,3
BR00143978,J12,4
BR00143978,J12,5
BR00143978,J12,7
BR00143978,J12,8
BR00143978,J12,9
BR00143978,E13,8
BR00143978,F16,1
BR00143980,N03,1
BR00143980,N03,2
BR00143980,N03,4
BR00143980,N03,5
BR00143980,N03,8
BR00143980,N03,9
BR00143980,N04,1
BR00143980,N04,2
BR00143980,N04,3
BR00143980,N04,4
BR00143980,N04,5
BR00143980,N04,6
BR00143980,N04,7
BR00143980,N04,8
BR00143980,N04,9
BR00143980,J08,9
BR00143980,I09,1
BR00143980,I09,3
BR00143980,I09,4
BR00143980,I09,5
BR00143980,I09,6
BR00143980,I09,7
BR00143980,I09,8
BR00143980,I09,9
BR00143980,J09,1
BR00143980,J09,3
BR00143980,J09,4
BR00143980,J09,5
BR00143980,J09,6
BR00143980,J09,7
BR00143980,J09,8
BR00143980,J09,9
BR00143980,H10,9
BR00143980,I10,1
BR00143980,I10,4
BR00143980,I10,5
BR00143980,I10,6
BR00143980,I10,8
BR00143980,I10,9
BR00143980,J10,1
BR00143980,J10,2
BR00143980,J10,6
BR00143980,J10,7
BR00143980,J10,8
BR00143980,J10,9
BR00143980,I11,1
BR00143980,I11,3
BR00143980,I11,4
BR00143980,I11,5
BR00143980,I11,7
BR00143980,I11,8
BR00143980,I11,9
BR00143980,J11,1
BR00143980,J11,2
BR00143980,J11,3
BR00143980,J11,4
BR00143980,J11,5
BR00143980,J11,6
BR00143980,J11,7
BR00143980,J11,8
BR00143980,J11,9
BR00143980,I12,1
BR00143980,I12,2
BR00143980,I12,3
BR00143980,I12,4
BR00143980,I12,5
BR00143980,I12,6
BR00143980,I12,7
BR00143980,I12,8
BR00143980,I12,9
BR00143980,J12,1
BR00143980,J12,3
BR00143980,J12,4
BR00143980,J12,5
BR00143980,J12,6
BR00143980,J12,7
BR00143980,J12,8
BR00143980,J12,9
BR00143980,C20,9
BR00143980,C21,1
BR00143980,C21,2
BR00143980,C21,6
BR00143980,C21,7
BR00143980,C21,8
BR00143980,C21,9
BR00143980,D21,2
BR00143980,D21,7
BR00143980,D21,8
BR00143980,D21,9
BR00143980,C22,7
BR00143980,D22,2
BR00143980,D22,5
BR00143980,D22,6
BR00143980,D22,7
BR00143980,D22,8
BR00143980,D22,9
BR00143977,H04,1
BR00143977,H04,3
BR00143977,H04,4
BR00143976,F04,6
BR00143976,F15,7
BR00143976,I15,4
BR00143976,E17,4
BR00143976,F20,8
BR00143976,M21,7
BR00143981,C09,1
BR00143981,C09,3
BR00143981,C09,5
BR00143981,C09,6
BR00143981,C09,9
BR00143981,L09,8
BR00143981,L10,6
BR00143981,L10,7
BR00143981,L10,8
BR00143981,E11,2
BR00143981,E11,3
BR00143981,E11,6
BR00143981,F11,3
