PSNR,SSIM,MSELoss,L1Loss,LPIPS,DISTS,datasplit,cell_line,seeding_density,platemap_file,run_name,run_id,params.disc_optim_beta1,params.gen_optim_beta0,params.disc_n_filters,params.gen_update_freq,params.gp_loss_weight,params.gen_optim_weight_decay,params.gen_optim_beta1,params.gen_optim_lr,params.gen_depth,params.disc_optim_beta0,params.disc_depth,params.disc_optim_weight_decay,params.confluence,params.channel_name
33.51169204711914,0.7933398485183716,0.00044548261212185025,0.011215439066290855,0.10029598325490952,0.15696024894714355,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
42.17198944091797,0.934032678604126,6.064583794795908e-05,0.002493627369403839,0.024160224944353104,0.08617269992828369,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
41.07928466796875,0.9345201253890991,7.799590821377933e-05,0.003599637420848012,0.03875814005732536,0.09048473834991455,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
40.688499450683594,0.9487853050231934,8.533947402611375e-05,0.0037871322128921747,0.04796714335680008,0.08427590131759644,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
46.03933334350586,0.9408750534057617,2.4892382498364896e-05,0.003104293718934059,0.023133909329771996,0.11894744634628296,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
37.292938232421875,0.8817949891090393,0.0001865117228589952,0.005468322429805994,0.0535256490111351,0.1019740104675293,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
34.24813461303711,0.7202799916267395,0.00037599881761707366,0.006514573935419321,0.03432059288024902,0.14136934280395508,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
42.33241271972656,0.9570134878158569,5.844657789566554e-05,0.0024272040463984013,0.031273528933525085,0.08494406938552856,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
41.2247428894043,0.9371970295906067,7.542679668404162e-05,0.003562290221452713,0.05412173271179199,0.12996941804885864,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
38.555641174316406,0.9428921937942505,0.0001394556020386517,0.004294553305953741,0.04662775993347168,0.12120896577835083,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
46.85414123535156,0.9824844598770142,2.06341046578018e-05,0.001536262920126319,0.01885104738175869,0.06307435035705566,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
46.055912017822266,0.9728866219520569,2.479753857187461e-05,0.002436160109937191,0.02024558186531067,0.09622019529342651,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
43.10898208618164,0.9617251753807068,4.8876681830734015e-05,0.0028320448473095894,0.02795872651040554,0.09328597784042358,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
41.06605529785156,0.9548904299736023,7.823380292393267e-05,0.002710893517360091,0.0387008935213089,0.10961031913757324,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
39.505516052246094,0.9084247350692749,0.00011205947521375492,0.002981239464133978,0.01009969413280487,0.06779175996780396,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
44.16942596435547,0.965144693851471,3.8287529605440795e-05,0.0018035727553069592,0.020867325365543365,0.06204211711883545,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
44.01803970336914,0.9533002972602844,3.964569987147115e-05,0.0019965898245573044,0.012913841754198074,0.0776604413986206,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
42.344032287597656,0.9518227577209473,5.82904031034559e-05,0.0025749218184500933,0.022035829722881317,0.09653884172439575,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
46.78740692138672,0.9824882745742798,2.095363561238628e-05,0.0015887654153630137,0.015483979135751724,0.08188760280609131,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
36.068321228027344,0.8869144320487976,0.00024726794799789786,0.007006531581282616,0.09400773048400879,0.1384088397026062,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
37.607933044433594,0.9009820818901062,0.0001734628895064816,0.005694129504263401,0.08673682808876038,0.17243105173110962,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
39.56011199951172,0.9249833822250366,0.00011065952276112512,0.004496351815760136,0.07212267071008682,0.12394779920578003,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
41.61735916137695,0.9135664105415344,6.890712393214926e-05,0.0035940282978117466,0.05701077729463577,0.11233901977539062,evaluation,Saos-2,2000,Assay_Plate1_platemap,wGAN_gp_prototype_train_low_confluence_OrigRNA,8bf5072db4534b85b3e42a0d8488fa23,0.9,0.0,64,5,10.0,0,0.9,0.0002,4,0.0,4,0.001,low,OrigRNA
